country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
India,IND,17-01-2021,224301,224301,,33120,112150,0.02,0.02,,80,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
India,IND,18-01-2021,454049,454049,,229748,151350,0.03,0.03,,109,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
India,IND,19-01-2021,674835,674835,,220786,168709,0.05,0.05,,121,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
India,IND,20-01-2021,806484,806484,,131649,161297,0.06,0.06,,116,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
India,IND,21-01-2021,1043534,1043534,,237050,173922,0.07,0.07,,125,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
India,IND,22-01-2021,1390592,1390592,,347058,198656,0.1,0.1,,143,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
India,IND,23-01-2021,1582201,1582201,,191609,198717,0.11,0.11,,143,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
India,IND,24-01-2021,1615504,1615504,,33303,198743,0.12,0.12,,143,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
India,IND,25-01-2021,2023809,2023809,,408305,224251,0.15,0.15,,161,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
India,IND,26-01-2021,2029480,2029480,,5671,193521,0.15,0.15,,139,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
India,IND,27-01-2021,2355979,2355979,,326499,221356,0.17,0.17,,159,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
India,IND,28-01-2021,2928053,2928053,,572074,269217,0.21,0.21,,193,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
India,IND,29-01-2021,3500027,3500027,,571974,301348,0.25,0.25,,216,"Covaxin, Oxford/AstraZeneca, Sputnik V",Government of India,https://dashboard.cowin.gov.in/
